EUR/USD,20230901 00:00:00.074,1.0842,1.08427
EUR/USD,20230901 00:00:00.214,1.08421,1.08426
EUR/USD,20230901 00:00:00.402,1.0842,1.08428
EUR/USD,20230901 00:00:00.498,1.08421,1.08426
EUR/USD,20230901 00:00:01.047,1.08422,1.08426
EUR/USD,20230901 00:00:01.250,1.08422,1.08429
EUR/USD,20230901 00:00:01.250,1.08423,1.08428
EUR/USD,20230901 00:00:01.281,1.08424,1.08429
EUR/USD,20230901 00:00:01.953,1.08421,1.08429
EUR/USD,20230901 00:00:01.953,1.08423,1.08427
EUR/USD,20230901 00:00:02.187,1.08421,1.08428
EUR/USD,20230901 00:00:02.203,1.08422,1.08426
EUR/USD,20230901 00:00:02.250,1.08419,1.08427
EUR/USD,20230901 00:00:02.281,1.08421,1.08426
EUR/USD,20230901 00:00:02.344,1.0842,1.08428
EUR/USD,20230901 00:00:02.422,1.08422,1.08426
EUR/USD,20230901 00:00:02.531,1.08421,1.08426
EUR/USD,20230901 00:00:02.844,1.08422,1.08426
EUR/USD,20230901 00:00:05.099,1.08421,1.08426
EUR/USD,20230901 00:00:05.319,1.08422,1.08426
EUR/USD,20230901 00:00:06.512,1.08421,1.08426
EUR/USD,20230901 00:00:06.637,1.08422,1.08429
EUR/USD,20230901 00:00:06.637,1.08423,1.08427
EUR/USD,20230901 00:00:06.668,1.08424,1.08428
EUR/USD,20230901 00:00:06.668,1.08423,1.0843
EUR/USD,20230901 00:00:06.699,1.08424,1.08429
EUR/USD,20230901 00:00:08.051,1.08424,1.0843
EUR/USD,20230901 00:00:08.879,1.08424,1.08431
EUR/USD,20230901 00:00:08.910,1.08426,1.08434
EUR/USD,20230901 00:00:08.910,1.08428,1.08431
EUR/USD,20230901 00:00:08.957,1.08428,1.08432
EUR/USD,20230901 00:00:09.741,1.08426,1.08434
EUR/USD,20230901 00:00:10.102,1.08427,1.08431
EUR/USD,20230901 00:00:10.164,1.08427,1.08433
EUR/USD,20230901 00:00:10.180,1.08426,1.08435
EUR/USD,20230901 00:00:10.370,1.08427,1.08433
EUR/USD,20230901 00:00:11.182,1.08426,1.08433
EUR/USD,20230901 00:00:11.198,1.08427,1.08431
EUR/USD,20230901 00:00:11.214,1.08427,1.08432
EUR/USD,20230901 00:00:13.582,1.08427,1.08431
EUR/USD,20230901 00:00:14.762,1.08426,1.08435
EUR/USD,20230901 00:00:14.777,1.08427,1.08432
EUR/USD,20230901 00:00:14.824,1.08428,1.08433
EUR/USD,20230901 00:00:14.934,1.08428,1.08435
EUR/USD,20230901 00:00:14.949,1.08429,1.08434
EUR/USD,20230901 00:00:14.965,1.08427,1.08435
EUR/USD,20230901 00:00:14.965,1.08428,1.08434
EUR/USD,20230901 00:00:15.199,1.08428,1.08435
EUR/USD,20230901 00:00:15.199,1.08429,1.08434
EUR/USD,20230901 00:00:15.215,1.0843,1.08436
EUR/USD,20230901 00:00:15.230,1.08428,1.08436
EUR/USD,20230901 00:00:15.246,1.08429,1.08438
EUR/USD,20230901 00:00:15.293,1.08431,1.08436
EUR/USD,20230901 00:00:15.293,1.0843,1.08438
EUR/USD,20230901 00:00:15.418,1.08431,1.08436
EUR/USD,20230901 00:00:15.527,1.08432,1.08436
EUR/USD,20230901 00:00:15.527,1.0843,1.08439
EUR/USD,20230901 00:00:15.559,1.08432,1.08439
EUR/USD,20230901 00:00:15.559,1.08433,1.08438
EUR/USD,20230901 00:00:15.637,1.08431,1.08439
EUR/USD,20230901 00:00:15.777,1.08433,1.08438
EUR/USD,20230901 00:00:17.717,1.08433,1.08437
EUR/USD,20230901 00:00:17.827,1.08432,1.08436
EUR/USD,20230901 00:00:20.461,1.08431,1.08439
EUR/USD,20230901 00:00:20.524,1.08432,1.08436
EUR/USD,20230901 00:00:20.539,1.08431,1.08439
EUR/USD,20230901 00:00:20.824,1.08432,1.08436
EUR/USD,20230901 00:00:21.605,1.08431,1.08439
EUR/USD,20230901 00:00:22.059,1.08432,1.08436
EUR/USD,20230901 00:00:22.515,1.08431,1.08439
EUR/USD,20230901 00:00:22.970,1.08432,1.08436
EUR/USD,20230901 00:00:23.017,1.08433,1.08438
EUR/USD,20230901 00:00:23.063,1.08433,1.08437
EUR/USD,20230901 00:00:23.079,1.08431,1.08439
EUR/USD,20230901 00:00:23.095,1.08434,1.08438
EUR/USD,20230901 00:00:23.110,1.08433,1.08441
EUR/USD,20230901 00:00:23.173,1.08435,1.08439
EUR/USD,20230901 00:00:23.173,1.08433,1.08442
EUR/USD,20230901 00:00:23.204,1.08435,1.0844
EUR/USD,20230901 00:00:24.001,1.08436,1.08441
EUR/USD,20230901 00:00:24.237,1.08433,1.08442
EUR/USD,20230901 00:00:24.237,1.08436,1.08441
EUR/USD,20230901 00:00:24.253,1.08433,1.08442
EUR/USD,20230901 00:00:24.393,1.08436,1.08441
EUR/USD,20230901 00:00:24.409,1.08433,1.08442
EUR/USD,20230901 00:00:24.520,1.08436,1.08441
EUR/USD,20230901 00:00:24.598,1.08433,1.08442
EUR/USD,20230901 00:00:24.645,1.08436,1.08441
EUR/USD,20230901 00:00:24.661,1.08433,1.08442
EUR/USD,20230901 00:00:24.756,1.08436,1.08441
EUR/USD,20230901 00:00:25.226,1.08433,1.08442
EUR/USD,20230901 00:00:25.304,1.08433,1.08443
EUR/USD,20230901 00:00:25.336,1.08435,1.08443
EUR/USD,20230901 00:00:25.429,1.08437,1.08441
EUR/USD,20230901 00:00:25.711,1.08436,1.08441
EUR/USD,20230901 00:00:25.993,1.08435,1.08443
